"Data Source","World Development Indicators",

"Last Updated Date","2025-10-07",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Aruba","ABW","GDP, PPP (constant 2021 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2169949832.80698","2342740154.64923","2480548422.75457","2661819292.29095","2880192319.63175","2953554956.47606","2988577871.82626","3199179218.50475","3262906371.03499","3303302517.17602","3555110646.86675","3703785432.08401","3668786382.70893","3709528424.23265","3980091340.21122","3964842110.90432","4009542195.39676","4133418781.15287","4209298230.20474","3717747269.41532","3616124254.15126","3737960057.14955","3699055373.19706","3936959476.04352","3874496655.79669","3850334291.06464","3916545601.34322","4192604625.63319","4293104972.52697","4197263892.87771","3097084627.34777","3844492519.39592","4171963243.75766","4349844050.54879","",
"Africa Eastern and Southern","AFE","GDP, PPP (constant 2021 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1055479902695.31","1055127228322.8","1031336840466.77","1022706051855.66","1039742649338.5","1086506983929.14","1146799002013.34","1193211193825.43","1215899673359.5","1249128435431.77","1289737167972.04","1336940536076.44","1389413314434.6","1433121004056.31","1515927071020.4","1612868516708.63","1722052111028.93","1840433287154.69","1925953022946.39","1944396977076.13","2048396369184.94","2137027381112.13","2199491396739.71","2295195424719.61","2394620940448.88","2474124255249.97","2539723878354.63","2614938373447.6","2689355818202.37","2753587184028.34","2681304181217.77","2805000858120.37","2908436936590.08","2963095972957.96","3053302452855.87",
"Afghanistan","AFG","GDP, PPP (constant 2021 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32567375969.9946","29495629513.1972","37931379899.2707","41281584746.4411","41865355064.2988","46566715049.4503","49061481753.757","55844878995.5875","58036781460.4599","70451155676.9393","80569661676.7348","80913174277.9269","91231454557.6403","96341095375.7699","98965950294.897","100402257640.593","102671664129.973","105389386367.805","106642706595.941","110814146350.335","108208794210.783","85767546197.7544","80415503801.351","82238478027.9442","",
"Africa Western and Central","AFW","GDP, PPP (constant 2021 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","696693494873.506","705139523574.359","719712510288.903","711134511891.674","710830468453.259","726428368288.219","760533350071.872","794831111001.044","824677741507.969","838888700153.816","869564818429.083","914383994777.025","997772369833.455","1051655394476.33","1134136589248.17","1200271449274.37","1263885868840.31","1330232145192.67","1412654674294.31","1494522167562.78","1596771175727.97","1675763231011.71","1764798145790.81","1868168743677.43","1972684998861.79","2031385565641.57","2042057655961.07","2094856130654.29","2159623943544.34","2234491825449.88","2216272293564.54","2306546845821.81","2399961902149.8","2482181144006.9","2588818030248.88",
"Angola","AGO","GDP, PPP (constant 2021 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","85939173894.7711","86791139889.2773","81724029491.0565","62123814347.746","62955878002.4664","72399259721.0075","82205283157.5778","88185123454.5974","92322016743.7908","94336012046.8804","97217622732.544","101306594541.042","115150838445.243","118593848514.756","131579874934.174","151356330124.348","168837986250.5","192492188138.725","213993565542.684","215833910210.958","225327096983.953","233150573548.039","253066545188.451","265605013213.782","278413972399.103","281041007465.416","273790009952.672","273386955626.621","269788194480.114","267893544947.44","252789131669.92","255820605533.992","263609643364.336","266451617663.347","278239182845.942",
"Albania","ALB","GDP, PPP (constant 2021 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18275992949.9279","13158323515.4492","12212620210.5443","13380074852.2998","14491004617.8637","16421544555.4693","17626283082.3547","15561968022.4081","16855171487.2823","18920052733.3018","20332029538.1139","22134205874.1831","23158664545.5944","24393777324.9209","25678417486.7845","26995931362.6176","28620811407.0012","30481190654.6425","32586545485.1159","33463368454.2523","34458286074.8104","35307171754.7483","35654640181.8418","36263346295.5434","37075727553.6156","37901665047.0069","39383216692.2835","40676236984.4843","42169632191.9134","43039413706.7578","41613192393.9176","45345719391.0897","47534419469.1299","49405667455.4306","51362981225.5407",
"Andorra","AND","GDP, PPP (constant 2021 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2631759311.90244","2698763996.90569","2723841290.8748","2695745293.15108","2759989816.43446","2836096580.14852","2967967659.48467","3237093233.43958","3340511674.18327","3477441884.0993","3600138634.67129","3892446768.89736","4069411497.98481","4423214423.66702","4783072832.92882","5041253346.26448","5283671526.22279","5365736885.77917","5067445572.25505","4798726709.88385","4703953872.84549","4703574275.36736","4469597620.27972","4311034330.8461","4419002699.26687","4482377402.04324","4648659173.53205","4664746876.17637","4738858764.76253","4834372720.68675","4293699379.34509","4649508748.84024","5094216232.49801","5225828100.9848","5402033635.11601",
"Arab World","ARB","GDP, PPP (constant 2021 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2521921569274.14","2482868499872.78","2640943547894.85","2726442906867.83","2810214675009.29","2889696164796.57","3035602641880.45","3197035926352.63","3371782972599.75","3476981047484.15","3691035445157.32","3775270189454.79","3820930867748.86","3950376125530.46","4304695942981.05","4534483655141.99","4805737111153.37","5030189364248.13","5318721422414.94","5386135110661.99","5645752617332.66","5895881125832.87","6116578909390.43","6253414550544","6423273946538.45","6672019650455.24","6925169328438.8","7051133004487.65","7255308427615.99","7418447795723.26","7131430817285.18","7434830070956.74","7955185932030.71","8076340573251.91","8211635999944.36",
"United Arab Emirates","ARE","GDP, PPP (constant 2021 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","205116039140.876","206880205165.4","213800233951.323","216496663143.731","231426594647.358","246904142534.985","261220642382.756","282615654347.823","283440876068.391","291666935833.943","323320685674.057","327844217009.064","335822164437","365376331079.237","400329826280.977","419766404594.753","461060168098.578","475742122784.261","490927032426.743","465188111511.719","472644379374.391","502024529755.823","511183870837.699","537027076390.38","559397969493.651","597363039159.308","630585329384.61","635220564855.619","643566816035.627","650699776835.631","618444247716.259","645375981350.196","693841762286.024","718949859453.934","745993988412.78",
"Argentina","ARG","GDP, PPP (constant 2021 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","557088925124.231","607968472614.51","656224702857.102","710080926887.272","751522674939.001","730140279566.018","770492868120.735","832987905019.268","865059429174.392","835773213823.75","829178972033.759","792621800475.08","706269738674.223","768683083609.037","838091886093.454","912276929668.686","985689236302.599","1074476681421.66","1118070705029.3","1051897409980.83","1158406210935.09","1227956360246.09","1215352364993.03","1244585524448.65","1213313877880.72","1246451419104.46","1220521143173.66","1254921567938.2","1222075295207.81","1197623267200.44","1079052757506.56","1191725417699.43","1254527913254.77","1234317448237.57","1213098233451.83",
"Armenia","ARM","GDP, PPP (constant 2021 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21801542439.2043","19250762304.759","11203943132.7907","10217996272.3038","10769768354.9844","11512882201.2876","12188158880.2036","12592937350.635","13512221775.6837","13958125094.3598","14781654475.3627","16200693304.8905","18339184820.8016","20906670695.9981","23101871118.8312","26313031204.1439","29786351322.9505","33867081454.6554","36203910075.1721","31099158754.3195","31783340246.9814","33277157238.1681","35673112559.6373","36850325274.1053","38176936984.1905","39398598967.2899","39477396165.156","42438200878.1907","44644987323.7094","48038006359.6591","44579269902.145","47164867556.762","53107640868.8087","57515575060.7049","60908993989.5524",
"American Samoa","ASM","GDP, PPP (constant 2021 international $)","NY.GDP.MKTP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
